iso3c,year,value,indicator_sdg
ATG,2016,2.6463,11.0.0
ATG,2018,2.6463,11.0.0
ATG,2020,2.6463,11.0.0
ATG,2022,2.64634,11.0.0
ATG,2015,4.018611102,13.2.2
ATG,2016,4.270359791,13.2.2
ATG,2017,3.825662113,13.2.2
ATG,2018,3.911972373,13.2.2
ATG,2019,4.486449805,13.2.2
ATG,2020,4.279990419,13.2.2
ATG,2021,4.321649395,13.2.2
ATG,2022,4.429125377,13.2.2
ATG,2023,4.448326118,13.2.2
ATG,2024,4.552531673,13.2.2
ATG,2024,0.09480680525,16.0.0
ATG,2020,44.47208333,17.18.1
ATG,2021,50.2375,17.18.1
ATG,2022,51.63958333,17.18.1
ATG,2023,60.3175,17.18.1
ATG,2024,63.21083333,17.18.1
ATG,2015,70,17.8.1
ATG,2016,70.27159882,17.8.1
ATG,2017,70.54419708,17.8.1
ATG,2018,70.81790161,17.8.1
ATG,2019,71.09259796,17.8.1
ATG,2020,71.36840057,17.8.1
ATG,2021,71.64530182,17.8.1
ATG,2022,71.9233017,17.8.1
ATG,2023,72.12409973,17.8.1
ATG,2024,72.73040009,17.8.1
ATG,2015,12.5268259,4.1.2
ATG,2016,12.46382618,4.1.2
ATG,2017,12.41282654,4.1.2
ATG,2018,12.4158268,4.1.2
ATG,2019,12.49382591,4.1.2
ATG,2020,12.56282616,4.1.2
ATG,2021,12.60182667,4.1.2
ATG,2022,12.62882614,4.1.2
ATG,2023,12.65582657,4.1.2
ATG,2024,12.65582657,4.1.2
ATG,2025,12.65582657,4.1.2
ATG,2015,0.2846755751,42.0.0
ATG,2016,0.2800887945,42.0.0
ATG,2017,0.2751297952,42.0.0
ATG,2018,0.2620137694,42.0.0
ATG,2019,0.2628166569,42.0.0
ATG,2020,0.3125659063,42.0.0
ATG,2021,0.2918945683,42.0.0
ATG,2022,0.2698415105,42.0.0
ATG,2023,0.2657048173,42.0.0
ATG,2024,0.2668615453,42.0.0
ATG,2015,76.892,43.0.0
ATG,2016,76.968,43.0.0
ATG,2017,77.03,43.0.0
ATG,2018,77.132,43.0.0
ATG,2019,77.168,43.0.0
ATG,2020,77.161,43.0.0
ATG,2021,77.197,43.0.0
ATG,2022,77.483,43.0.0
ATG,2023,77.598,43.0.0
ATG,2024,77.766,43.0.0
ATG,2015,3.769195495,47.0.0
ATG,2016,3.779079461,47.0.0
ATG,2017,3.813503117,47.0.0
ATG,2018,3.904273805,47.0.0
ATG,2019,3.846153846,47.0.0
ATG,2020,3.66374148,47.0.0
ATG,2021,3.68060293,47.0.0
ATG,2022,3.823782852,47.0.0
ATG,2023,3.836426765,47.0.0
ATG,2015,100,7.1.1
ATG,2016,100,7.1.1
ATG,2017,100,7.1.1
ATG,2018,100,7.1.1
ATG,2019,100,7.1.1
ATG,2020,100,7.1.1
ATG,2021,100,7.1.1
ATG,2022,100,7.1.1
ATG,2023,100,7.1.1
LCN,2015,97.3,7.1.1
LCN,2016,97.5,7.1.1
LCN,2017,97.7,7.1.1
LCN,2018,97.8,7.1.1
LCN,2019,98,7.1.1
LCN,2020,98.1,7.1.1
LCN,2021,98.3,7.1.1
LCN,2022,98.6,7.1.1
LCN,2023,98.4,7.1.1
LCN,2015,5.5,13.2.2
LCN,2016,5.5,13.2.2
LCN,2017,5.4,13.2.2
LCN,2018,5.3,13.2.2
LCN,2019,5.3,13.2.2
LCN,2020,5,13.2.2
LCN,2021,5.2,13.2.2
LCN,2022,5.3,13.2.2
LCN,2023,5.3,13.2.2
LCN,2024,5.3,13.2.2
LCN,2016,17.8,11.0.0
LCN,2022,18.9,11.0.0
LCN,2024,81.7,17.8.1
LCN,2025,83.7,17.8.1
LCN,2020,73.8,17.8.1
LCN,2021,75.8,17.8.1
LCN,2022,77.1,17.8.1
LCN,2023,80,17.8.1
LCN,2015,54.4,17.8.1
LCN,2016,57.5,17.8.1
LCN,2017,60.2,17.8.1
LCN,2018,63.5,17.8.1
LCN,2019,67.8,17.8.1
LCN,2015,5.8,1.1.1
LCN,2016,6.2,1.1.1
LCN,2017,6.2,1.1.1
LCN,2018,6.1,1.1.1
LCN,2019,6.2,1.1.1
LCN,2020,5.9,1.1.1
LCN,2021,6.3,1.1.1
LCN,2022,5.1,1.1.1
LCN,2023,4.6,1.1.1
LCN,2024,4.3,1.1.1
LCN,2025,4.1,1.1.1
LCN,2020,3.6,10.1.1
LCN,2021,3.6,10.1.1
LCN,2022,3.3,10.1.1
LCN,2023,3.2,10.1.1
LCN,2024,3.1,10.1.1
LCN,2015,3.6,10.1.1
LCN,2016,3.6,10.1.1
LCN,2017,3.6,10.1.1
LCN,2018,3.6,10.1.1
LCN,2019,3.6,10.1.1
LCN,2015,55.5,8.5.1
LCN,2016,55.8,8.5.1
LCN,2017,56.2,8.5.1
LCN,2018,56.7,8.5.1
LCN,2019,57.4,8.5.1
LCN,2020,53.1,8.5.1
LCN,2021,56,8.5.1
LCN,2022,57,8.5.1
LCN,2023,57.2,8.5.1
LCN,2024,57.5,8.5.1
LCN,2025,57.7,8.5.1
HIC,2015,99.4,7.1.1
HIC,2016,99.9,7.1.1
HIC,2017,100,7.1.1
HIC,2018,100,7.1.1
HIC,2019,99.9,7.1.1
HIC,2020,100,7.1.1
HIC,2021,100,7.1.1
HIC,2022,100,7.1.1
HIC,2023,100,7.1.1
HIC,2015,13.8,13.2.2
HIC,2016,13.7,13.2.2
HIC,2017,13.6,13.2.2
HIC,2018,13.7,13.2.2
HIC,2019,13.4,13.2.2
HIC,2020,12.5,13.2.2
HIC,2021,13.1,13.2.2
HIC,2022,13,13.2.2
HIC,2023,12.6,13.2.2
HIC,2024,12.5,13.2.2
HIC,2016,1.1,11.0.0
HIC,2018,1.1,11.0.0
HIC,2020,0.9,11.0.0
HIC,2022,1.1,11.0.0
HIC,2016,73,17.18.1
HIC,2017,74.3,17.18.1
HIC,2018,77.8,17.18.1
HIC,2019,78.2,17.18.1
HIC,2020,77.8,17.18.1
HIC,2021,82.4,17.18.1
HIC,2023,82,17.18.1
HIC,2024,80.9,17.18.1
HIC,2022,80.3,17.18.1
HIC,2015,78.3,17.8.1
HIC,2016,82.5,17.8.1
HIC,2017,84.2,17.8.1
HIC,2018,86.3,17.8.1
HIC,2019,87.5,17.8.1
HIC,2020,88.4,17.8.1
HIC,2021,90,17.8.1
HIC,2022,91,17.8.1
HIC,2023,91.9,17.8.1
HIC,2024,93,17.8.1
HIC,2025,94.2,17.8.1
HIC,2015,0.8,1.1.1
HIC,2016,0.8,1.1.1
HIC,2017,0.7,1.1.1
HIC,2018,0.7,1.1.1
HIC,2019,0.7,1.1.1
HIC,2020,0.5,1.1.1
HIC,2021,0.5,1.1.1
HIC,2022,0.7,1.1.1
HIC,2023,0.6,1.1.1
HIC,2024,0.6,1.1.1
HIC,2025,0.6,1.1.1
HIC,2022,1.1,10.1.1
HIC,2023,1.1,10.1.1
HIC,2024,1,10.1.1
HIC,2015,1.2,10.1.1
HIC,2016,1.2,10.1.1
HIC,2017,1.2,10.1.1
HIC,2018,1.2,10.1.1
HIC,2019,1.1,10.1.1
HIC,2020,1,10.1.1
HIC,2021,0.9,10.1.1
