iso3c,year,value,indicator_sdg
EGY,2015,0.6,1.1.1
EGY,2016,1,1.1.1
EGY,2017,1.6,1.1.1
EGY,2018,1.8,1.1.1
EGY,2019,1.8,1.1.1
EGY,2020,1.6,1.1.1
EGY,2021,1.5,1.1.1
EGY,2022,1.3,1.1.1
EGY,2023,1.2,1.1.1
EGY,2024,1.2,1.1.1
EGY,2025,1,1.1.1
EGY,2015,3.9,10.1.1
EGY,2017,4.5,10.1.1
EGY,2019,4.2,10.1.1
EGY,2021,3.9,10.1.1
EGY,2016,0.89992,11.0.0
EGY,2018,0.89992,11.0.0
EGY,2020,0.89992,11.0.0
EGY,2022,3.83938,11.0.0
EGY,2015,3.328835824,13.2.2
EGY,2016,3.391839186,13.2.2
EGY,2017,3.448097356,13.2.2
EGY,2018,3.340070078,13.2.2
EGY,2019,3.035009906,13.2.2
EGY,2020,3.071159669,13.2.2
EGY,2021,3.17733874,13.2.2
EGY,2022,3.111399795,13.2.2
EGY,2023,3.22804128,13.2.2
EGY,2024,3.317350084,13.2.2
EGY,2024,0.3650079072,16.0.0
EGY,2016,76.26958333,17.18.1
EGY,2017,75.57541667,17.18.1
EGY,2018,75.70833333,17.18.1
EGY,2019,74.40083333,17.18.1
EGY,2020,76.3425,17.18.1
EGY,2021,76.63708333,17.18.1
EGY,2022,75.95291667,17.18.1
EGY,2023,77.78666667,17.18.1
EGY,2024,78.13791667,17.18.1
EGY,2015,37.81938343,17.8.1
EGY,2016,41.24806709,17.8.1
EGY,2017,44.95020425,17.8.1
EGY,2018,46.92433677,17.8.1
EGY,2019,57.2828664,17.8.1
EGY,2020,71.91420096,17.8.1
EGY,2021,72.05599976,17.8.1
EGY,2022,72.19806556,17.8.1
EGY,2023,74.01190186,17.8.1
EGY,2024,74.64839935,17.8.1
EGY,2015,9.94069767,4.1.2
EGY,2016,10.10366344,4.1.2
EGY,2017,10.26777363,4.1.2
EGY,2018,10.43179512,4.1.2
EGY,2019,10.58069897,4.1.2
EGY,2020,10.72813511,4.1.2
EGY,2021,10.79740906,4.1.2
EGY,2022,10.91440964,4.1.2
EGY,2023,11.02618504,4.1.2
EGY,2024,11.07348061,4.1.2
EGY,2025,11.07348061,4.1.2
EGY,2015,0.2385608314,42.0.0
EGY,2016,0.2422404549,42.0.0
EGY,2017,0.2497164516,42.0.0
EGY,2018,0.2272809933,42.0.0
EGY,2019,0.2208946723,42.0.0
EGY,2020,0.1971878585,42.0.0
EGY,2021,0.2071038935,42.0.0
EGY,2022,0.2029874346,42.0.0
EGY,2023,0.1956311544,42.0.0
EGY,2024,0.1966666462,42.0.0
EGY,2015,70.135,43.0.0
EGY,2016,70.437,43.0.0
EGY,2017,70.709,43.0.0
EGY,2018,70.974,43.0.0
EGY,2019,71.213,43.0.0
EGY,2020,69.79,43.0.0
EGY,2021,68.976,43.0.0
EGY,2022,71.01,43.0.0
EGY,2023,71.633,43.0.0
EGY,2024,71.806,43.0.0
EGY,2015,30.7,45.0.0
EGY,2016,31.4,45.0.0
EGY,2017,42.3,45.0.0
EGY,2018,42.1,45.0.0
EGY,2019,43.5,45.0.0
EGY,2020,50.9,45.0.0
EGY,2021,52.1,45.0.0
EGY,2022,54.2,45.0.0
EGY,2023,56.7,45.0.0
EGY,2015,1.752295759,47.0.0
EGY,2016,1.84130805,47.0.0
EGY,2017,1.803144743,47.0.0
EGY,2018,1.857817087,47.0.0
EGY,2019,1.744315523,47.0.0
EGY,2020,1.742596935,47.0.0
EGY,2021,1.813848423,47.0.0
EGY,2022,1.827900895,47.0.0
EGY,2023,1.818986299,47.0.0
EGY,2015,94.21551359,61.1.0
EGY,2016,94.3519109,61.1.0
EGY,2017,94.48991758,61.1.0
EGY,2018,94.62932476,61.1.0
EGY,2019,94.76996903,61.1.0
EGY,2020,94.91164214,61.1.0
EGY,2021,95.05407519,61.1.0
EGY,2022,95.19705312,61.1.0
EGY,2023,95.34046069,61.1.0
EGY,2024,95.48394314,61.1.0
EGY,2015,93.67441926,61.2.0
EGY,2016,93.98719684,61.2.0
EGY,2017,94.29979764,61.2.0
EGY,2018,94.61224714,61.2.0
EGY,2019,94.92457175,61.2.0
EGY,2020,95.23680564,61.2.0
EGY,2021,95.54896008,61.2.0
EGY,2022,95.86105289,61.2.0
EGY,2023,96.17313682,61.2.0
EGY,2024,96.48519453,61.2.0
EGY,2015,73.61358341,61.3.0
EGY,2016,74.20120159,61.3.0
EGY,2017,74.78956975,61.3.0
EGY,2018,75.37880826,61.3.0
EGY,2019,75.96909519,61.3.0
EGY,2020,76.56056202,61.3.0
EGY,2021,77.15326271,61.3.0
EGY,2022,77.74731163,61.3.0
EGY,2023,78.3429755,61.3.0
EGY,2024,78.94015883,61.3.0
EGY,2015,99.3,7.1.1
EGY,2016,100,7.1.1
EGY,2017,100,7.1.1
EGY,2018,100,7.1.1
EGY,2019,100,7.1.1
EGY,2020,100,7.1.1
EGY,2021,100,7.1.1
EGY,2022,100,7.1.1
EGY,2023,100,7.1.1
EGY,2015,24.439,8.5.1
EGY,2016,24.652,8.5.1
EGY,2017,23.754,8.5.1
EGY,2018,19.728,8.5.1
EGY,2019,17.001,8.5.1
EGY,2020,15.707,8.5.1
EGY,2021,16.783,8.5.1
EGY,2022,16.384,8.5.1
EGY,2023,19.83,8.5.1
EGY,2024,19.854,8.5.1
EGY,2025,19.872,8.5.1
MEA,2022,95.9,7.1.1
MEA,2023,96.4,7.1.1
MEA,2015,93.4,7.1.1
MEA,2016,95.2,7.1.1
MEA,2017,96,7.1.1
MEA,2018,95,7.1.1
MEA,2019,96,7.1.1
MEA,2020,96.3,7.1.1
MEA,2021,96.4,7.1.1
MEA,2022,5.9,13.2.2
MEA,2023,5.9,13.2.2
MEA,2024,5.9,13.2.2
MEA,2015,5.8,13.2.2
MEA,2016,5.9,13.2.2
MEA,2017,5.9,13.2.2
MEA,2018,5.8,13.2.2
MEA,2019,5.8,13.2.2
MEA,2020,5.7,13.2.2
MEA,2021,5.8,13.2.2
MEA,2016,34.6,11.0.0
MEA,2018,34.2,11.0.0
MEA,2020,34,11.0.0
MEA,2022,31.9,11.0.0
MEA,2015,31.8,17.8.1
MEA,2016,35,17.8.1
MEA,2017,39.7,17.8.1
MEA,2018,42.3,17.8.1
MEA,2019,46,17.8.1
MEA,2020,50.6,17.8.1
MEA,2021,54.2,17.8.1
MEA,2022,57.8,17.8.1
MEA,2023,59.5,17.8.1
MEA,2024,61.5,17.8.1
MEA,2025,63.7,17.8.1
MEA,2015,11.2,1.1.1
MEA,2016,11,1.1.1
MEA,2017,10.9,1.1.1
MEA,2018,10.9,1.1.1
MEA,2019,11.7,1.1.1
MEA,2020,12.6,1.1.1
MEA,2021,13.5,1.1.1
MEA,2022,13.5,1.1.1
MEA,2023,13.9,1.1.1
MEA,2024,14.4,1.1.1
MEA,2025,14.7,1.1.1
MEA,2015,5,10.1.1
MEA,2016,5,10.1.1
MEA,2017,5,10.1.1
MEA,2018,5,10.1.1
MEA,2019,5.1,10.1.1
MEA,2020,5.3,10.1.1
MEA,2021,5.4,10.1.1
MEA,2022,5.3,10.1.1
MEA,2023,5.4,10.1.1
MEA,2024,5.4,10.1.1
MEA,2015,22.4,8.5.1
MEA,2016,22.5,8.5.1
MEA,2017,22,8.5.1
MEA,2018,21.2,8.5.1
MEA,2019,21.4,8.5.1
MEA,2020,20.6,8.5.1
MEA,2021,21,8.5.1
MEA,2022,20.6,8.5.1
MEA,2023,21.2,8.5.1
MEA,2024,21.2,8.5.1
MEA,2025,21.2,8.5.1
LMC,2015,80.7,7.1.1
LMC,2016,82.7,7.1.1
LMC,2017,84.7,7.1.1
LMC,2018,86.9,7.1.1
LMC,2019,87.6,7.1.1
LMC,2020,88.4,7.1.1
LMC,2021,90.6,7.1.1
LMC,2022,90.6,7.1.1
LMC,2023,91.3,7.1.1
LMC,2015,2.3,13.2.2
LMC,2016,2.3,13.2.2
LMC,2017,2.4,13.2.2
LMC,2018,2.4,13.2.2
LMC,2019,2.4,13.2.2
LMC,2020,2.4,13.2.2
LMC,2021,2.4,13.2.2
LMC,2022,2.5,13.2.2
LMC,2023,2.6,13.2.2
LMC,2024,2.6,13.2.2
LMC,2018,25.4,11.0.0
LMC,2016,51.3,17.18.1
LMC,2017,54.4,17.18.1
LMC,2018,56.6,17.18.1
LMC,2019,56.9,17.18.1
LMC,2020,59.2,17.18.1
LMC,2021,63.9,17.18.1
LMC,2022,63,17.18.1
LMC,2023,64.2,17.18.1
LMC,2024,64.1,17.18.1
LMC,2015,19.5,17.8.1
LMC,2016,21.9,17.8.1
LMC,2017,24.4,17.8.1
LMC,2018,27.2,17.8.1
LMC,2019,33.4,17.8.1
LMC,2020,42.5,17.8.1
LMC,2021,47.4,17.8.1
LMC,2022,52.3,17.8.1
LMC,2023,55.4,17.8.1
LMC,2024,58.9,17.8.1
LMC,2025,62.9,17.8.1
LMC,2015,18,1.1.1
LMC,2016,16.4,1.1.1
LMC,2017,15.1,1.1.1
LMC,2018,14.1,1.1.1
LMC,2019,13.6,1.1.1
LMC,2020,15,1.1.1
LMC,2021,14.5,1.1.1
LMC,2022,13.6,1.1.1
LMC,2023,12.8,1.1.1
LMC,2024,12.3,1.1.1
LMC,2025,11.8,1.1.1
LMC,2022,6.2,10.1.1
LMC,2023,6.1,10.1.1
LMC,2024,5.9,10.1.1
LMC,2020,6.5,10.1.1
LMC,2021,6.4,10.1.1
LMC,2015,39.1,8.5.1
LMC,2016,39,8.5.1
LMC,2017,39,8.5.1
LMC,2018,39,8.5.1
LMC,2019,39.1,8.5.1
LMC,2020,38.4,8.5.1
LMC,2021,39.7,8.5.1
LMC,2022,41.1,8.5.1
LMC,2023,42.3,8.5.1
LMC,2024,43,8.5.1
LMC,2025,43.1,8.5.1
