country,survey,survey_year,very_high_risk,high_risk,medium_risk,low_risk,very_high_risk_report,high_risk_report
Afghanistan (10 provinces),ALCS,Invalid Date,7,20,31,42,,
Bangladesh,MICS,2019,6,12,22,60,37,34
Congo,MICS,Invalid Date,11,14,24,52,17,44
Côte d'Ivoire,MICS,2016,34,7,13,46,69,12
Democratic People's Republic of Korea,MICS,2017,4,12,8,77,,
Ethiopia,ESS-WQ,2016,37,26,23,14,,
Gambia,MICS,2018,12,14,20,55,45,39
Georgia,MICS,2018,6,8,11,75,18,31
Ghana,MICS,Invalid Date,16,14,18,52,48,37
Iraq,MICS,2018,5,17,19,60,16,34
Kiribati,MICS,Invalid Date,34,28,23,15,37,35
Lao,MICS,2017,36,29,19,17,43,30
Lebanon,WQS,2016,10,15,27,47,,
Lesotho,MICS,2018,5,10,18,67,24,27
Madagascar,MICS,2018,51,19,11,19,62,24
Mongolia,MICS,2018,5,5,6,84,11,10
Nepal,MICS,2014,19,29,24,29,18,28
Nigeria,MICS,Invalid Date,46,15,16,23,60,26
Pakistan (Punjab),MICS,Invalid Date,6,10,21,64,,
Paraguay,MICS,2016,6,11,20,63,22,8
Sierra Leone,MICS,2017,49,32,9,10,39,53
Suriname,MICS,2018,6,10,27,58,13,28
Togo,MICS,2017,37,19,13,31,59,32
Tunisia,MICS,2018,5,6,10,80,26,25
Zimbabwe,MICS,2019,21,19,19,41,46,30
